5.4,40,42,26,100,100,7,8,-13,25,25,25
5.4,43,41.5,18,100,100,6,-15,-16,25,25,27
5.4,45,32.5,8.5,100,100,4,-18,-19,25,25,29
6.75,47,23,23,100,100,4,-19,-19,25,25,29
8.1,49,49,13.5,100,100,4,4,-19,25,25,29
9,100,51,4.5,100,100,25,4,-18,25,25,29
9,100,52,45.5,100,5,25,2,-2,25,19,31
9,100,52,44,100,15,25,0,-3,25,20,33
9,100,51,41.75,100,25.5,25,-2,-4.5,25,21,35
9,100,50,39,100,35.5,25,-2,-5.5,25,20,35
9,100,49,36.5,100,45,25,-2,-5,25,19,35
9,100,48,34.25,100,54,25,-2,-4.5,25,18,35
9,100,47,32,100,62.5,25,-2,-4.5,25,17,35
9,100,46,30,100,70.5,25,-2,-4,25,16,35
9,100,45,28,100,78,25,-2,-4,25,15,35
9,100,44,26.5,100,85,25,-2,-3,25,14,35
9,100,43,24.5,100,91.5,25,-2,-4,25,13,35
9,100,42,22,100,97.5,25,-2,-5,25,12,35
9,100,41,19,100,100,25,-2,-6,25,25,35
9,100,40,15.5,100,100,25,-2,-7,25,25,35
9,100,39,11.5,100,100,25,-2,-8,25,25,35
9,100,38,7.25,100,100,25,-2,-8.5,25,25,35
9,100,37,2.5,100,100,25,-2,-9.5,25,25,35
9,100,36,59.5,100,1.75,25,-2,-9.5,25,8.5,35
9,100,35,54.25,100,5.75,25,-2,-10.5,25,8,35
7.65,34,34,49,100,9.25,-2,-2,-10.5,25,7,35
6.3,33,43.5,43.5,100,13.25,-2,-11,-11,25,8,35
6.3,33,39.5,39.5,100,16.75,0,-8,-8,25,7,33
5.4,33,35.75,21,100,58,0,-7.5,-7,25,6,33
5.4,32,31.5,16.25,100,62,-2,-8.5,-9.5,25,8,35
5.4,32,27.75,12,100,64.5,0,-7.5,-8.5,25,5,33
5.4,31,23.5,7.25,100,68.5,-2,-8.5,-9.5,25,8,35
5.4,31,20.75,3.75,100,71.75,0,-5.5,-7,25,6.5,33
5.4,31,18.5,47.5,100,0.25,0,-4.5,-10.5,25,8,33
5.4,31,16.75,41.75,100,4.75,0,-3.5,-11.5,25,9,33
5.4,32,16.5,36.5,100,8.75,2,-0.5,-10.5,25,8,31
6.75,33,15.75,15.75,100,61,2,-1.5,-1.5,25,7.5,31
8.1,34,34,14.5,100,64.25,2,2,-2.5,25,6.5,31
9,100,35,13.25,100,67,25,2,-2.5,25,5.5,31
9,100,35,11.25,100,70.25,25,0,-4,25,6.5,33
9,100,34,8,100,74,25,-2,-6.5,25,7.5,35
9,100,33,5,100,77.5,25,-2,-6,25,7,35
9,100,32,1.75,100,81,25,-2,-6.5,25,7,35
9,100,31,82.25,100,1.25,25,-2,-7,25,6,35
9,100,30,78.25,100,4.5,25,-2,-8,25,6.5,35
7.65,29,29,74,100,7.25,-2,-2,-8.5,25,5.5,35
6.3,28,69.5,69.5,100,10.5,-2,-9,-9,25,6.5,35
5.4,27,64.75,80.25,100,16.5,-2,-9.5,-3,25,4.5,35
4.05,60.5,60.5,78.5,18.5,18.25,-8.5,-8.5,-3.5,8.5,3.5,35
2.7,56.75,77,77,22.75,20.5,-7.5,-3,-3,8.5,4.5,35
1.8,53.5,75.75,100,26.5,100,-6.5,-2.5,25,7.5,25,35
1.8,50.75,74,100,30.25,100,-5.5,-3.5,25,7.5,25,35
1.8,48.5,71.75,100,34,100,-4.5,-4.5,25,7.5,25,35
1.8,46,69.5,100,38,100,-5,-4.5,25,8,25,35
1.8,44,66.75,100,41.5,100,-4,-5.5,25,7,25,35
1.8,41.75,64.5,100,44.5,100,-4.5,-4.5,25,6,25,35
1.8,40,62.75,100,47,100,-3.5,-3.5,25,5,25,35
1.8,37.75,60.75,100,49.5,100,-4.5,-4,25,5,25,35
1.8,36,59,100,51.5,100,-3.5,-3.5,25,4,25,35
1.8,34.75,57,100,53,100,-2.5,-4,25,3,25,35
1.8,33.75,55.25,100,54.25,100,-2,-3.5,25,2.5,25,35
1.8,32.75,53.25,100,55.25,100,-2,-4,25,2,25,35
1.8,31.5,51.75,100,56.25,100,-2.5,-3,25,2,25,35
1.8,30.5,50.75,100,57.25,100,-2,-2,25,2,25,35
1.8,29.5,49.25,100,58.25,100,-2,-3,25,2,25,35
1.8,28.5,47.5,100,59.25,100,-2,-3.5,25,2,25,35
1.8,27.25,45.5,100,60.75,100,-2.5,-4,25,3,25,35
1.8,26,44,100,62,100,-2.5,-3,25,2.5,25,35
1.8,24.75,42.75,100,63.25,100,-2.5,-2.5,25,2.5,25,35
1.8,23.75,41.75,100,65,100,-2,-2,25,3.5,25,35
1.8,22.75,40.5,100,67.25,100,-2,-2.5,25,4.5,25,35
1.8,21.5,39.25,100,69.75,100,-2.5,-2.5,25,5,25,35
1.8,21.5,38.5,100,70.75,100,0,-1.5,25,2,25,33
1.8,21.5,37.25,100,71.5,100,0,-2.5,25,1.5,25,33
1.8,21.5,35.5,100,72.25,100,0,-3.5,25,1.5,25,33
1.8,21.5,33.25,100,72.75,100,0,-4.5,25,1,25,33
3.15,21.25,30.5,30.5,73,89.25,-0.5,-5.5,-5.5,0.5,0,33
4.5,20.5,20.5,27.25,73.25,89.25,-1.5,-1.5,-6.5,0.5,0,33
5.4,35,20.25,21,30.75,89.25,-2.5,-0.5,-20,6.5,0,33
6.75,34.25,19.5,19.5,33.5,74.25,-1.5,-1.5,-1.5,5.5,1.5,33
8.1,33.75,33.75,19.25,36.75,74.5,-1,-1,-0.5,6.5,0.5,33
8.1,33.75,33.75,19.25,40,74.5,0,0,0,6.5,0,33
9,100,33.75,19.25,100,75,25,0,0,25,1,33
9,100,33.75,19.25,100,75.75,25,0,0,25,1.5,33
9,100,34.25,19.75,100,75,25,1,1,25,-1.5,31
9,100,36,21.75,100,73,25,3.5,4,25,-4,29
9,100,36.5,22.75,100,72.5,25,1,2,25,-1,31
9,100,37.5,23.25,100,71.75,25,2,1,25,-1.5,31
9,100,38.25,24.25,100,71.25,25,1.5,2,25,-1,31
9,100,38.75,25.25,100,70.75,25,1,2,25,-1,31
9,100,38.75,25.25,100,71.25,25,0,0,25,1,33
9,100,38.75,25.25,100,71.25,25,0,0,25,0,33
9,100,38.75,25.25,100,71.75,25,0,0,25,1,33
9,100,38.75,25.25,100,71.75,25,0,0,25,0,33
9,100,37.75,24.25,100,72.75,25,-2,-2,25,2,35
9,100,37.75,23.75,100,72.75,25,0,-1,25,0,33
9,100,37.75,23.75,100,72.75,25,0,0,25,0,33
9,100,37.75,23.75,100,73,25,0,0,25,0.5,33
9,100,37.75,23.75,100,73.5,25,0,0,25,1,33
9,100,36.5,22.75,100,74.5,25,-2.5,-2,25,2,35
9,100,36.5,22.75,100,74.5,25,0,0,25,0,33
7.65,36.5,36.5,22.25,79,74.75,0,0,-1,0,0.5,33
6.3,36.25,22.25,22.25,79,74.75,-0.5,0,0,0,0,33
5.4,35.75,22.25,52.5,79,43.5,-1,0,0,0,0.5,33
4.05,22.25,22.25,52.5,75,43.75,0,0,0,0,0.5,33
2.7,22.25,52.5,52.5,75.25,44.5,0,0,0,0.5,1.5,33
1.8,22,52.5,100,75.75,100,-0.5,0,25,1,25,33
1.8,22,52.5,100,75.75,100,0,0,25,0,25,33
1.8,21.75,52.5,100,75.75,100,-0.5,0,25,0,25,33
1.8,21.75,52.5,100,75.75,100,0,0,25,0,25,33
1.8,21.75,52.5,100,75.75,100,0,0,25,0,25,33
1.8,21.75,52.5,100,75.75,100,0,0,25,0,25,33
1.8,21.75,52.5,100,75.75,100,0,0,25,0,25,33
1.8,21.75,52.5,100,76.25,100,0,0,25,1,25,33
1.8,21.75,52.5,100,76.25,100,0,0,25,0,25,33
1.8,21.75,52.5,100,76.75,100,0,0,25,1,25,33
1.8,21.25,52.5,100,76.75,100,-1,0,25,0,25,33
1.8,20.25,52.5,100,76.75,100,-2,0,25,0,25,33
1.8,18.75,52.5,100,76.75,100,-3,0,25,0,25,33
1.8,16.75,52.5,100,77,100,-4,0,25,0.5,25,33
1.8,13.25,51.5,100,78,100,-7,-2,25,2,25,35
1.8,9.25,50.5,100,79,100,-8,-2,25,2,25,35
1.8,4.75,49.5,100,80.25,100,-9,-2,25,2.5,25,35
1.8,22.5,48.5,100,0.25,100,-15,-2,25,10,25,35
1.8,15.5,47.5,100,5.75,100,-14,-2,25,11,25,35
1.8,9,46.5,100,11.75,100,-13,-2,25,12,25,35
1.8,3,45.5,100,18.25,100,-12,-2,25,13,25,35
1.8,94.5,44.5,100,2.5,100,-2,-2,25,11,25,35
3.15,93.5,43.5,43.5,7.5,77.25,-2,-2,-2,10,4,35
4.5,92.5,92.5,42.5,13,78.75,-2,-2,-2,11,3,35
5.4,49.25,91.5,41.5,22.75,79.75,-4.5,-2,-2,10,2,35
5.4,47.5,90.5,40.5,28.25,80.75,-3.5,-2,-2,11,2,35
5.4,46,89.5,39.5,33.25,81.75,-3,-2,-2,10,2,35
5.4,44.5,88.5,38.5,37.75,82.75,-3,-2,-2,9,2,35
5.4,42.5,87.5,37.5,41.75,83.75,-4,-2,-2,8,2,35
5.4,41,86.5,36.5,45.25,84.75,-3,-2,-2,7,2,35
5.4,39.25,85.5,35.5,48.25,85.75,-3.5,-2,-2,6,2,35
5.4,38,84.5,34.5,50.75,86.75,-2.5,-2,-2,5,2,35
5.4,37,83.5,33.5,52.75,87.75,-2,-2,-2,4,2,35
5.4,36,82.5,32.5,55,88.75,-2,-2,-2,4.5,2,35
5.4,35,81.5,31.5,57,89.75,-2,-2,-2,4,2,35
5.4,33.75,80.5,30.5,59.25,90.75,-2.5,-2,-2,4.5,2,35
5.4,32.25,79.5,29.5,61,91.75,-3,-2,-2,3.5,2,35
5.4,31.25,78.5,28.5,62.25,92.75,-2,-2,-2,2.5,2,35
5.4,30.25,77.5,27.5,63.25,93.75,-2,-2,-2,2,2,35
5.4,29,76,26.5,64.25,94.75,-2.5,-3,-2,2,2,35
5.4,28,74.75,25.5,65.25,95.75,-2,-2.5,-2,2,2,35
5.4,27,73.5,24,66.25,96.75,-2,-2.5,-3,2,2,35
5.4,25.5,72,23,67.25,97.75,-3,-3,-2,2,2,35
5.4,24.5,70,22,68.25,98.75,-2,-4,-2,2,2,35
5.4,23.25,68.25,21,69.25,99.75,-2.5,-3.5,-2,2,2,35
5.4,22.25,66.75,20,70.75,100,-2,-3,-2,3,25,35
5.4,20.75,65.75,19,72.75,100,-3,-2,-2,4,25,35
5.4,19.75,64.25,18,74.25,100,-2,-3,-2,3,25,35
5.4,18.75,62.25,17,76.25,100,-2,-4,-2,4,25,35
5.4,17.75,59.75,15.5,77.75,100,-2,-5,-3,3,25,35
5.4,16.75,56.75,14,79.75,100,-2,-6,-3,4,25,35
5.4,15.5,53.25,12,81.25,100,-2.5,-7,-4,3,25,35
5.4,14.5,49.25,9.5,82.25,100,-2,-8,-5,2,25,35
5.4,13.5,44.75,6.5,83.5,100,-2,-9,-6,2.5,25,35
5.4,12.5,39.75,3,84.75,100,-2,-10,-7,2.5,25,35
5.4,11.25,34.25,50,85.75,1,-2.5,-11,-9,2,8,35
5.4,10.25,28.25,46,86.75,5.5,-2,-12,-8,2,9,35
4.05,21.75,21.75,42.5,100,10.5,-13,-13,-7,25,10,35
2.7,14.75,39.5,39.5,100,16,-14,-6,-6,25,11,35
2.7,7.25,37,37,100,22,-15,-5,-5,25,12,35
2.7,1.75,35,35,0.75,28.5,-13,-4,-4,16,13,35
4.05,100,100,33,5.25,35.25,25,25,-4,14,13.5,35
5.4,2.75,100,31.5,93.75,41.5,-3,25,-3,2,12.5,35
5.4,1.5,99.25,30,94.75,47.25,-2.5,-2,-3,2,11.5,35
5.4,0.25,98.25,29,96.25,52.5,-2.5,-2,-2,3,10.5,35
5.4,89,97.25,27.75,0.75,57.25,-5,-2,-2.5,2,9.5,35
5.4,86.5,96.25,26.5,2,61.5,-5,-2,-2.5,2.5,8.5,35
5.4,84,95.25,25.25,3,65.25,-5,-2,-2.5,2,7.5,35
5.4,81.25,94.25,23.75,4.25,68.5,-5.5,-2,-3,2.5,6.5,35
5.4,78.75,93.25,22,5.75,71.25,-5,-2,-3.5,3,5.5,35
5.4,76.75,92.25,20.25,6.75,73.5,-4,-2,-3.5,2,4.5,35
5.4,74.75,91.25,18.25,7.75,75.25,-4,-2,-4,2,3.5,35
5.4,72.5,90.25,16.25,8.75,77.25,-4.5,-2,-4,2,4,35
5.4,70.25,89.25,14.5,10.25,78.75,-4.5,-2,-3.5,3,3,35
5.4,68.5,88.25,13.25,12,80.25,-3.5,-2,-2.5,3.5,3,35
5.4,67.25,87.25,12.25,14,81.25,-2.5,-2,-2,4,2,35
5.4,66.25,86.25,10.75,16.25,82.75,-2,-2,-3,4.5,3,35
5.4,64.75,85.25,8.75,18,84.5,-3,-2,-4,3.5,3.5,35
5.4,62.75,84.25,7,20,86,-4,-2,-3.5,4,3,35
5.4,60.5,83.25,5.25,21.75,88,-4.5,-2,-3.5,3.5,4,35
5.4,57.75,82.25,3,23,89.5,-5.5,-2,-4.5,2.5,3,35
5.4,55.25,81.25,0.25,24.75,91.25,-5,-2,-5.5,3.5,3.5,35
5.4,52.75,80.25,53,26.25,3,-5,-2,-9.5,3,6.5,35
5.4,50,79.25,48,28,6.75,-5.5,-2,-10,3.5,7.5,35
5.4,47.5,78.25,43.25,29.75,11,-5,-2,-9.5,3.5,8.5,35
5.4,44.5,77.25,38.75,31.25,15.25,-6,-2,-9,3,8.5,35
5.4,41.5,76.25,33.75,33,19,-6,-2,-10,3.5,7.5,35
5.4,38.75,75.25,28.5,35,23.25,-5.5,-2,-10.5,4,8.5,35
5.4,36,74.25,22.75,37.25,28,-5.5,-2,-11.5,4.5,9.5,35
5.4,33.5,73.25,17,39.75,33.25,-5,-2,-11.5,5,10.5,35
5.4,31.25,72.25,11.5,41.75,39,-4.5,-2,-11,4,11.5,35
5.4,29,71.25,6.25,43.75,44.75,-4.5,-2,-10.5,4,11.5,35
5.4,26.25,70.25,0.5,45.75,50.25,-5.5,-2,-11.5,4,11,35
5.4,23.75,69.25,38.25,47.5,5.75,-5,-2,-15,3.5,12.5,35
5.4,21.5,68.25,30.5,49.75,12.5,-4.5,-2,-15.5,4.5,13.5,35
5.4,19.75,67.25,23.25,51.75,19.25,-3.5,-2,-14.5,4,13.5,35
5.4,17.5,66.25,16.5,54.25,26.5,-4.5,-2,-13.5,5,14.5,35
5.4,14.75,65.25,10.25,57,34,-5.5,-2,-12.5,5.5,15,35
5.4,11.5,64.25,4.5,60,41.25,-6.5,-2,-11.5,6,14.5,35
5.4,7.75,63.25,74.75,63.25,0.75,-7.5,-2,-7.5,6.5,10.5,35
5.4,3.5,62.25,71.5,66.25,5.5,-8.5,-2,-6.5,6,9.5,35
5.4,52.25,61.25,68.5,1.25,9.75,-7,-2,-6,9.5,8.5,35
5.4,49.25,60.25,65.5,6,14.25,-6,-2,-6,9.5,9,35
5.4,46.75,59.25,62,10.5,18.25,-5,-2,-7,9,8,35
5.4,44.75,58.25,58,14.75,22.5,-4,-2,-8,8.5,8.5,35
5.4,43.25,57.25,54.5,19,26.25,-3,-2,-7,8.5,7.5,35
5.4,41.25,56.25,51,22.75,29.75,-4,-2,-7,7.5,7,35
5.4,39.75,55.25,47.5,26,33.25,-3,-2,-7,6.5,7,35
5.4,38.5,54.25,44.5,29.25,36.75,-2.5,-2,-6,6.5,7,35
5.4,36.75,53.25,41,32.5,40,-3.5,-2,-7,6.5,6.5,35
5.4,35.5,52.25,37.25,35.75,42.75,-2.5,-2,-7.5,6.5,5.5,35
5.4,34.5,51.25,33,39.25,45.5,-2,-2,-8.5,7,5.5,35
5.4,33.5,50.25,28.5,42.25,48.5,-2,-2,-9,6,6,35
5.4,32.5,49.25,24.5,44.75,52,-2,-2,-8,5,7,35
5.4,31.5,48.25,20.5,46.75,55.75,-2,-2,-8,4,7.5,35
5.4,30.25,47.25,16,49.25,59.25,-2.5,-2,-9,5,7,35
5.4,29,46.25,11.5,52.25,62.75,-2.5,-2,-9,6,7,35
5.4,27.25,44.75,6.5,55.5,66.75,-3.5,-3,-10,6.5,8,35
5.4,26,42.75,1.25,58.25,70.25,-2.5,-4,-10.5,5.5,7,35
5.4,24.25,41.25,59.5,60.75,4,-3.5,-3,-7,5,10.5,35
4.05,39.25,39.25,56,100,8.75,-4,-4,-7,25,9.5,35
2.7,37,52.75,52.75,100,14,-4.5,-6.5,-6.5,25,10.5,35
1.8,34.75,49.5,100,100,100,-4.5,-6.5,25,25,25,35
1.8,33,46.75,100,100,100,-3.5,-5.5,25,25,25,35
1.8,30.75,44.5,100,100,100,-4.5,-4.5,25,25,25,35
1.8,28,41.75,100,100,100,-5.5,-5.5,25,25,25,35
1.8,24.75,39.5,100,100,100,-6.5,-4.5,25,25,25,35
1.8,21,37.5,100,100,100,-7.5,-4,25,25,25,35
1.8,16.75,35.5,100,100,100,-8.5,-4,25,25,25,35
1.8,12,33.75,100,100,100,-9.5,-3.5,25,25,25,35
1.8,7.75,33,100,100,100,-8.5,-1.5,25,25,25,33
1.8,4,32.75,100,100,100,-7.5,-0.5,25,25,25,31
1.8,0.75,33.75,100,100,100,-6.5,2,25,25,25,29
1.8,29,33.25,100,4,100,-5.5,-1,25,9.5,25,31
1.8,27.75,34,100,8.25,100,-2.5,1.5,25,8.5,25,29
1.8,27,34.25,100,13,100,-1.5,0.5,25,9.5,25,29
1.8,26.75,34,100,18,100,-0.5,-0.5,25,10,25,29
1.8,27,33.25,100,22.75,100,0.5,-1.5,25,9.5,25,29
1.8,26.75,31,100,29,100,-0.5,-4.5,25,12.5,25,31
1.8,26,27.25,100,35.75,100,-1.5,-7.5,25,13.5,25,33
1.8,24.75,22,100,43,100,-2.5,-10.5,25,14.5,25,35
3.15,23.75,16.25,16.25,49.75,76.5,-2,-11.5,-11.5,13.5,4.5,35
4.5,22.75,22.75,10.5,56,78.25,-2,-2,-11.5,12.5,3.5,35
4.5,21.75,21.75,5.25,61.75,79.5,-2,-2,-10.5,11.5,2.5,35
4.5,20.75,20.75,58.25,67,0.5,-2,-2,-5.5,10.5,11.5,35
3.15,19.75,56,56,71.75,6.75,-2,-4.5,-4.5,9.5,12.5,35
1.8,18.75,54.25,100,76,100,-2,-3.5,25,8.5,25,35
1.8,17.75,53,100,79.75,100,-2,-2.5,25,7.5,25,35
1.8,16.75,51.5,100,83,100,-2,-3,25,6.5,25,35
1.8,15.75,49.75,100,85.75,100,-2,-3.5,25,5.5,25,35
1.8,14.75,48.5,100,88,100,-2,-2.5,25,4.5,25,35
1.8,13.75,46.75,100,89.75,100,-2,-3.5,25,3.5,25,35
1.8,12.75,45.5,100,91,100,-2,-2.5,25,2.5,25,35
1.8,11.75,44.5,100,92,100,-2,-2,25,2,25,35
1.8,10.75,43.25,100,93,100,-2,-2.5,25,2,25,35
1.8,9.75,42.25,100,94,100,-2,-2,25,2,25,35
1.8,8.75,41.25,100,95,100,-2,-2,25,2,25,35
1.8,7.75,40,100,96,100,-2,-2.5,25,2,25,35
1.8,6.75,39,100,97,100,-2,-2,25,2,25,35
1.8,5.75,37.5,100,98,100,-2,-3,25,2,25,35
1.8,4.75,36.5,100,99,100,-2,-2,25,2,25,35
1.8,4.75,36.5,100,99,100,0,0,25,0,25,33
1.8,4.75,36.5,100,99,100,0,0,25,0,25,33
1.8,4.25,36,100,99,100,-1,-1,25,0,25,33
1.8,4.25,36,100,99,100,0,0,25,0,25,33
1.8,4.25,35.5,100,99,100,0,-1,25,0,25,33
1.8,4,35.5,100,99,100,-0.5,0,25,0,25,33
1.8,4,35.25,100,99,100,0,-0.5,25,0,25,33
1.8,4,35.25,100,99,100,0,0,25,0,25,33
1.8,3.75,35,100,99,100,-0.5,-0.5,25,0,25,33
1.8,2,33.75,100,100,100,-3.5,-2.5,25,25,25,35
1.8,0.25,32.75,100,100,100,-3.5,-2,25,25,25,35
1.8,89.75,31.5,100,1.75,100,-3.5,-2.5,25,4,25,35
1.8,87.75,30.5,100,3.75,100,-4,-2,25,4,25,35
1.8,85.25,29.5,100,6,100,-5,-2,25,4.5,25,35
3.15,82.5,28.25,28.25,7.75,100,-5.5,-2.5,-2.5,3.5,25,35
4.5,79.75,79.75,27.25,10,100,-5.5,-5.5,-2,4.5,25,35
5.4,79.75,77.5,25.75,11.5,100,-3.5,-4.5,-3,4.5,25,35
5.4,77.5,75,24.75,14.25,100,-4.5,-5,-2,5.5,25,35
5.4,75.25,72.5,23.75,16.5,100,-4.5,-5,-2,4.5,25,35
5.4,73.5,70.5,22.75,18.25,100,-3.5,-4,-2,3.5,25,35
6.75,72.25,68,68,19.75,28.75,-2.5,-5,-5,3,9.5,35
8.1,71.25,71.25,65,21.75,33,-2,-2,-6,4,8.5,35
9,100,70,61.5,100,36.75,25,-2.5,-7,25,7.5,35
9,100,69,57.5,100,40,25,-2,-8,25,6.5,35
9,100,68,53,100,42.75,25,-2,-9,25,5.5,35
9,100,67,48,100,45,25,-2,-10,25,4.5,35
9,100,66,42.5,100,46.75,25,-2,-11,25,3.5,35
9,100,64.5,36.5,100,48.25,25,-3,-12,25,3,35
9,100,62.75,30,100,49.25,25,-3.5,-13,25,2,35
9,100,61.5,23,100,50.25,25,-2.5,-14,25,2,35
9,100,59.75,15.5,100,51.25,25,-3.5,-15,25,2,35
9,100,57.5,7.5,100,52.5,25,-4.5,-16,25,2.5,35
9,100,54.75,28,100,1,25,-5.5,-15.5,25,17,35
9,100,51.5,20.5,100,10,25,-6.5,-15,25,18,35
9,100,47.75,13,100,19.5,25,-7.5,-15,25,19,35
9,100,43.5,6,100,29.5,25,-8.5,-14,25,20,35
9,100,39.5,64.25,100,1,25,-8,-9.5,25,14,35
9,100,35,60,100,7.5,25,-9,-8.5,25,13,35
9,100,31,56,100,13.5,25,-8,-8,25,12,35
9,100,26.5,52.5,100,19,25,-9,-7,25,11,35
9,100,21.75,49.5,100,24,25,-9.5,-6,25,10,35
9,100,17,47,100,29.5,25,-9.5,-5,25,11,35
9,100,11.75,44,100,34.5,25,-10.5,-6,25,10,35
9,100,6,41.5,100,39,25,-11.5,-5,25,9,35
9,100,65,39.5,100,43,25,-5,-4,25,8,35
9,100,62.25,37.25,100,46.5,25,-5.5,-4.5,25,7,35
9,100,59.25,35.5,100,50,25,-6,-3.5,25,7,35
9,100,56.75,34.25,100,53,25,-5,-2.5,25,6,35
9,100,54.5,32.5,100,55.5,25,-4.5,-3.5,25,5,35
9,100,52,31.25,100,57.5,25,-5,-2.5,25,4,35
9,100,50,30,100,59.75,25,-4,-2.5,25,4.5,35
9,100,48.5,28.5,100,61.75,25,-3,-3,25,4,35
9,100,46.5,27.5,100,64.25,25,-4,-2,25,5,35
9,100,44.75,26.5,100,66.25,25,-3.5,-2,25,4,35
9,100,43.5,25,100,68.75,25,-2.5,-3,25,5,35
9,100,42.5,24,100,70.75,25,-2,-2,25,4,35
9,100,41.5,23,100,72.25,25,-2,-2,25,3,35
9,100,40.25,22,100,73.75,25,-2.5,-2,25,3,35
9,100,39.25,20.5,100,74.75,25,-2,-3,25,2,35
9,100,38.25,18.5,100,75.75,25,-2,-4,25,2,35
9,100,37,17,100,77.25,25,-2.5,-3,25,3,35
9,100,35.5,16,100,78.5,25,-3,-2,25,2.5,35
9,100,35.25,16,100,78.5,25,-0.5,0,25,0,33
9,100,35.25,16,100,78.5,25,0,0,25,0,33
9,100,34.75,15.75,100,78.75,25,-1,-0.5,25,0.5,33
9,100,34.75,16,100,78.25,25,0,0.5,25,-1,31
9,100,35.25,17.5,100,76.25,25,1,3,25,-4,29
9,100,36.25,19.75,100,73.5,25,2,4.5,25,-5.5,27
9,100,36.75,21.5,100,70.75,25,1,3.5,25,-5.5,27
9,100,37.75,23.75,100,67.25,25,2,4.5,25,-7,25
9,100,38.25,25.5,100,63.75,25,1,3.5,25,-7,25
9,100,39.25,27.75,100,58.75,25,2,4.5,25,-10,23
